Ticker,MarketCap,PE,Revenue,NetIncome,TotalAssets,TotalDebt,Symbol,Sector,ProfitMargin,ROA,DebtRatio,EarningsYield,LogMarketCap,SizeGroup,PM_z,ROA_z,Debt_z,FinancialStrengthScore
ALL,56101269504,5.677962,67069000000.0,10282000000.0,119758000000.0,7490000000.0,ALL,Financials,0.1533048054988146,0.0858564772290786,0.0625427946358489,0.1761195302117203,24.75042427852384,Mid,-0.06360018970315541,0.2402503108848772,-1.4546937351862337,1.6313438563679554
SNPS,86122455040,68.95399,7054178000.0,1332220000.0,48224461000.0,14293418000.0,SNPS,Information Technology,0.188855455589581,0.0276253994834696,0.2963935252692611,0.0145024240076607,25.179036016235507,Large,0.19141240070532198,-0.6387576070224856,-0.09160776292074232,-0.3557374433964213
BG,23113830400,24.19067,70329000000.0,816000000.0,44528000000.0,15855000000.0,BG,Consumer Staples,0.0116026105873821,0.0183255479698167,0.3560680919870643,0.0413382514829064,23.8636969939284,Smaller,-1.0800610335603242,-0.7791404306338878,0.25622764718781493,-2.115429111382027
XEL,50607071232,23.707602,14669000000.0,2018000000.0,81371000000.0,34781000000.0,XEL,Utilities,0.1375690231099597,0.0247999901684875,0.427437293384621,0.04218056301097,24.64735715114402,Mid,-0.17647639924758335,-0.6814076361022885,0.6722295857462258,-1.5301136210960977
SHW,85618565120,33.679337,23574300000.0,2568500000.0,25901700000.0,12942600000.0,SHW,Materials,0.1089533941622869,0.0991633753769057,0.4996814880876545,0.0296917958925379,25.173167978821542,Large,-0.3817425658432033,0.4411201777595094,1.093331748269262,-1.0339541363529559
MS,299819794432,17.087784,65966000000.0,16861000000.0,1420270000000.0,370538000000.0,MS,Financials,0.2556013704029348,0.0118716863694931,0.2608926471727207,0.0585213389869628,26.426447445892297,Large,0.6701954494619409,-0.8765625575700582,-0.29853783667090517,0.09217072856278785
WEC,37738815488,24.089397,9800100000.0,1558700000.0,51518300000.0,22314200000.0,WEC,Utilities,0.159049397455128,0.0302552685162359,0.4331315280201404,0.0415120395085024,24.353954990278734,Mid,-0.0223929748736388,-0.5990592914089596,0.7054205504844637,-1.3268728167670623
BXP,10278157312,33.36207,3482279000.0,276800000.0,26166164000.0,17358735000.0,BXP,Real Estate,0.079488174267484,0.010578547164957,0.663403890612319,0.029974159277287,23.053286831100817,Smaller,-0.5931030341650106,-0.8960827114766956,2.0476486735253787,-3.536834419167085
AMAT,315015495680,40.670082,28368000000.0,6998000000.0,36299000000.0,7050000000.0,AMAT,Information Technology,0.2466864072194021,0.1927876801013802,0.1942202264525193,0.024588098937199,26.475887667197046,Large,0.606246468247126,1.8543948130137142,-0.6871628419233147,3.147804123184155
TSN,22821758976,115.75,54441000000.0,474000000.0,36658000000.0,8830000000.0,TSN,Consumer Staples,0.0087066732793299,0.0129303289868514,0.240875115936494,0.0086393088552915,23.850980258865537,Smaller,-1.1008342254063648,-0.8605821691088076,-0.41521746368588447,-1.5461989308292878
AJG,56975929344,38.608017,13942000000.0,1494000000.0,70665000000.0,13485000000.0,AJG,Financials,0.1071582269401807,0.0211420080662279,0.1908299724050095,0.0259013561872395,24.76589472337997,Mid,-0.394619693050635,-0.7366254915144197,-0.7069241987600446,-0.42432098580501
RF,24031916032,11.672198,7526000000.0,2156000000.0,158814000000.0,4884000000.0,RF,Financials,0.2864735583311187,0.0135756293525759,0.0307529562884884,0.0856736666050387,23.902648618514043,Smaller,0.8916484072853004,-0.8508412514947055,-1.6399926333102808,1.6807997891008757
ORCL,503480614912,31.429083,57399000000.0,12443000000.0,168361000000.0,104104000000.0,ORCL,Information Technology,0.2167807801529643,0.0739066648451838,0.6183379761346155,0.0318176639133887,26.94481104769256,Large,0.39172686293664627,0.05986588199212734,1.7849652271855405,-1.333372482256767
